,Value,Date,State
643,28.1,2021/07/05,UT
644,25.9,2021/07/05,VA
645,25.5,2021/07/05,VT
646,28.3,2021/07/05,WA
647,24.8,2021/07/05,WI
648,34.1,2021/07/05,WV
649,27.5,2021/07/05,WY
650,34.2,2021/08/02,AK
651,35.3,2021/08/02,AL
652,35.0,2021/08/02,AR
653,32.0,2021/08/02,AZ
654,33.4,2021/08/02,CA
655,27.9,2021/08/02,CO
656,26.7,2021/08/02,CT
657,32.5,2021/08/02,DE
658,30.9,2021/08/02,FL
659,36.3,2021/08/02,GA
660,28.0,2021/08/02,HI
661,26.9,2021/08/02,IA
662,26.9,2021/08/02,ID
663,29.6,2021/08/02,IL
664,31.8,2021/08/02,IN
665,28.3,2021/08/02,KS
666,33.7,2021/08/02,KY
667,40.9,2021/08/02,LA
668,27.9,2021/08/02,MA
669,27.4,2021/08/02,MD
670,34.5,2021/08/02,ME
671,28.8,2021/08/02,MI
672,27.0,2021/08/02,MN
673,31.1,2021/08/02,MO
674,34.8,2021/08/02,MS
675,24.2,2021/08/02,MT
676,26.3,2021/08/02,NC
677,23.5,2021/08/02,ND
678,25.1,2021/08/02,NE
679,25.9,2021/08/02,NH
680,25.8,2021/08/02,NJ
681,33.6,2021/08/02,NM
682,37.0,2021/08/02,NV
683,24.9,2021/08/02,NY
684,32.3,2021/08/02,OH
685,38.9,2021/08/02,OK
686,31.5,2021/08/02,OR
687,30.5,2021/08/02,PA
688,30.8,2021/08/02,RI
689,30.9,2021/08/02,SC
690,23.6,2021/08/02,SD
691,27.6,2021/08/02,TN
692,38.1,2021/08/02,TX
693,32.2,2021/08/02,UT
694,30.3,2021/08/02,VA
695,25.8,2021/08/02,VT
696,34.7,2021/08/02,WA
697,27.0,2021/08/02,WI
698,35.4,2021/08/02,WV
699,32.3,2021/08/02,WY
700,28.1,2021/08/16,AK
701,29.9,2021/08/16,AL
702,35.1,2021/08/16,AR
703,34.7,2021/08/16,AZ
704,32.4,2021/08/16,CA
705,30.2,2021/08/16,CO
706,24.9,2021/08/16,CT
707,32.1,2021/08/16,DE
708,32.3,2021/08/16,FL
709,34.8,2021/08/16,GA
710,30.5,2021/08/16,HI
711,27.1,2021/08/16,IA
712,31.9,2021/08/16,ID
713,28.1,2021/08/16,IL
714,28.0,2021/08/16,IN
715,28.2,2021/08/16,KS
716,34.6,2021/08/16,KY
717,38.4,2021/08/16,LA
718,29.9,2021/08/16,MA
719,28.0,2021/08/16,MD
720,26.3,2021/08/16,ME
721,30.9,2021/08/16,MI
722,26.4,2021/08/16,MN
723,32.0,2021/08/16,MO
724,32.5,2021/08/16,MS
725,32.1,2021/08/16,MT
726,29.3,2021/08/16,NC
727,22.9,2021/08/16,ND
728,28.4,2021/08/16,NE
729,30.0,2021/08/16,NH
730,25.6,2021/08/16,NJ
731,33.6,2021/08/16,NM
732,33.1,2021/08/16,NV
733,29.6,2021/08/16,NY
734,27.8,2021/08/16,OH
735,39.7,2021/08/16,OK
736,30.5,2021/08/16,OR
737,30.8,2021/08/16,PA
738,31.4,2021/08/16,RI
739,28.9,2021/08/16,SC
740,21.2,2021/08/16,SD
741,33.2,2021/08/16,TN
742,31.9,2021/08/16,TX
743,33.0,2021/08/16,UT
